1,2337,61,2459,61,2459,103,2337,103,PAGE 1
2,378,110,1000,110,1000,152,378,152,MDC ENVIRONMENTAL SERVICES INC
3,381,154,977,154,977,198,381,198,A WASTE CONNECTIONS COMPANY
4,1523,143,1761,143,1761,183,1523,183,ACCOUNT NO.
5,2263,146,2462,146,2462,186,2263,186,3084-300517
6,375,200,923,200,923,242,375,242,5450 WANSFORD WAY SUITE 201
7,1523,190,1730,190,1730,229,1523,229,INVOICE NO.
8,2234,190,2465,190,2465,232,2234,232,22454942T084
9,378,244,791,244,791,286,378,286,ROCKFORD IL 61109-7549
10,1521,230,1831,230,1831,278,1521,278,STATEMENT DATE
11,2317,236,2465,236,2465,276,2317,276,10/01/23
12,378,290,691,290,691,330,378,330,DISTRICT NO. 3084
13,1523,280,1701,280,1701,320,1523,320,DUE DATE
14,2242,283,2465,283,2465,325,2242,325,Upon Receipt
15,1523,324,1789,324,1789,366,1523,366,BILLING PERIOD
16,2152,327,2300,327,2300,366,2152,366,10/01/23
17,2317,327,2465,327,2465,366,2317,366,10/31/23
18,167,391,505,391,505,433,167,433,AMERICAN COLLOID
19,1523,406,1818,406,1818,449,1523,449,FOR ASSISTANCE
20,167,435,348,435,348,474,167,474,PO BOX 37
21,1520,453,1807,453,1807,495,1520,495,Customer Service
22,2250,455,2465,455,2465,495,2250,495,815-568-7274
23,167,476,490,476,490,518,167,518,BELVIDERE IL 61008
24,1519,498,1845,498,1845,547,1519,547,One Time Payments
25,2250,502,2462,502,2462,541,2250,541,800-457-1379
26,2460,678,2487,678,2487,718,2460,718,5
27,1001,741,1504,741,1504,798,1001,798,INVOICE STATEMENT
28,2460,719,2489,719,2489,814,2460,814,3
29,73,790,171,790,171,839,73,839,Date
30,266,792,506,792,506,847,266,847,Descrption
31,2202,797,2368,797,2368,848,2202,848,Amount
32,266,846,628,846,628,899,266,899,Previous Balance
33,2303,857,2442,857,2442,906,2303,906,443.73
34,70,934,243,934,243,983,70,983,09/06/23
35,264,935,670,935,670,996,264,996,Payment Thank Youl
36,1152,945,1346,945,1346,990,1152,990,10032616
37,2291,950,2439,950,2439,995,2291,995,-139.19
38,265,981,841,981,841,1043,265,1043,Total Payments And Credits
39,2055,949,2085,949,2085,1035,2055,1035,$
40,2287,993,2440,993,2440,1042,2287,1042,#139.19
41,264,1072,553,1072,553,1124,264,1124,Po #: Bv-1789
42,264,1117,609,1117,609,1166,264,1166,Service Location
43,1151,1122,1679,1122,1679,1174,1151,1174,American Colloid Bv-1789
44,266,1161,538,1161,538,1213,266,1213,Acct #300517
45,1144,1163,1515,1163,1515,1225,1144,1225,2786 Mewburg Rd
46,70,1205,243,1205,243,1254,70,1254,10/01/23
47,264,1207,609,1207,609,1256,264,1256,2Yd IX Per Week
48,1156,1223,1174,1223,1174,1251,1156,1251,1
49,1185,1216,1289,1216,1289,1261,1185,1261,Each
50,1341,1212,1509,1212,1509,1264,1341,1264,8133.59
51,2052,1220,2085,1220,2085,1270,2052,1270,$
52,2303,1218,2437,1218,2437,1267,2303,1267,133.59
53,266,1254,615,1254,615,1303,266,1303,10/01/23-10/31/23
54,70,1295,241,1295,241,1344,70,1344,10/01/23
55,266,1297,622,1297,622,1347,266,1347,Administrative Fee
56,645,1300,746,1300,746,1349,645,1349,Com
57,1184,1303,1463,1303,1463,1354,1184,1354,Each @ $5.00
