1,1599,133,2325,133,2325,182,1599,182,XPo GLOBAL FORWARDING SPAIN. SL_
2,1599,179,1936,179,1936,228,1599,228,C.IF. B-95465548
3,1948,183,2318,183,2318,224,1948,224,https Wleurope_Xpocom
4,144,169,1017,169,1017,330,144,330,XPOLogistkcs
5,2127,321,2199,321,2199,352,2127,352,4E
6,1637,349,1799,349,1799,406,1637,406,IATA
7,143,458,1034,458,1034,546,143,546,INVOICE XBIO0024288
8,2114,479,2339,479,2339,536,2114,536,Page 1 of 1
9,268,605,671,605,671,647,268,647,INVOICE DATE 04-Oct-23
10,1251,604,1700,604,1700,653,1251,653,MINTEQ EUROPE LTD
11,273,662,740,662,740,704,273,704,CUSTOMER ID MINEURORK1
12,1252,652,1825,652,1825,696,1252,696,TIVOLI INDUSTRIAL ESTATE
13,1252,695,1455,695,1455,740,1252,740,CORK CO
14,334,720,704,720,704,762,334,762,SHIPMENT S231023773
15,1247,738,1391,738,1391,789,1247,789,Ireland
16,282,776,652,776,652,820,282,820,CLIENT VAT #ESNULL
17,336,835,677,835,677,877,336,877,DUE DATE 03-Nov-23
18,390,893,859,893,859,943,390,943,TERMS 30 days from Inv. Date
19,147,958,479,958,479,1000,147,1000,SHIPMENT DETAILS
20,1857,958,2343,958,2343,997,1857,997,PRINTED BY: Veronica Garcia
21,147,1011,301,1011,301,1052,147,1052,SHIPPER
22,882,1011,1091,1011,1091,1049,882,1049,CONSIGNEE
23,1619,1011,1850,1011,1850,1052,1619,1052,FORWARDER
24,147,1052,603,1052,603,1093,147,1093,DOLOMITAS DEL NORTE SA
25,884,1054,1244,1054,1244,1093,884,1093,MINTEQ EUROPE LTD
26,147,1109,855,1109,855,1148,147,1148,ORDER NUMBERS / OWNER'S REFERENCE
27,1249,1109,1567,1109,1567,1148,1249,1148,SUPPLIER INV REF
28,1803,1109,2137,1109,2137,1148,1803,1148,XPO CONTRACT NO
29,147,1150,353,1150,353,1189,147,1189,PO 20509-15
30,147,1205,515,1205,515,1244,147,1244,GOODS DESCRIPTION
31,147,1249,496,1249,496,1285,147,1285,D- RECARBONATADA
32,144,1301,614,1301,614,1343,144,1343,IMPORT CUSTOMS BROKER
33,884,1304,1025,1304,1025,1343,884,1343,WEIGHT
34,1252,1301,1403,1301,1403,1343,1252,1343,VOLUME
35,1619,1304,1863,1304,1863,1343,1619,1343,CHARGEABLE
36,1986,1304,2187,1304,2187,1343,1986,1343,PACKAGES
37,1986,1345,2083,1345,2083,1381,1986,1381,0 PLT
38,1252,1400,1658,1400,1658,1439,1252,1439,OCEAN BILL OF LADING
39,1805,1400,2203,1400,2203,1439,1805,1439,HOUSE BILL OF LADING
40,1803,1441,2033,1441,2033,1482,1803,1482,XVL23/023773
41,147,1498,274,1498,274,1535,147,1535,ORIGIN
42,975,1498,1049,1498,1049,1535,975,1535,ETD
43,1252,1496,1482,1496,1482,1535,1252,1535,DESTINATION
44,2080,1499,2150,1499,2150,1531,2080,1531,ETA
45,146,1538,312,1538,312,1579,146,1579,Bilbao, ES
46,972,1539,1137,1539,1137,1578,972,1578,29-Sep-23
47,1252,1539,1403,1539,1403,1578,1252,1578,Dublin, IE
48,147,1589,323,1589,323,1630,147,1630,CHARGES
