1,313,44,1044,44,1044,102,313,102,TEO HENG STATIONERY & BOOKS,company
2,583,104,776,104,776,133,583,133,(001451637-M),other
3,381,141,977,141,977,169,381,169,NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI,address
4,525,178,832,178,832,205,525,205,SELANGOR DARUL EHSAN,address
5,428,212,655,212,655,235,428,235,TEL : 03-3271 9872,other
6,481,246,876,246,876,276,481,276,GST NO. : 000689913856,other
7,387,329,993,329,993,367,387,367,SIMPLIFIED TAX INVOICE,other
8,275,423,450,423,450,477,275,477,CASH,other
9,275,531,743,531,743,572,275,572,RECEIPT NO. : CS1801/26821,other
10,793,528,1101,528,1101,563,793,563,DATE : 17/01/2018,date
11,320,630,432,630,432,665,320,665,ITEM,other
12,518,629,607,629,607,675,518,675,QTY,other
13,642,629,713,629,713,665,642,665,U/P,other
14,751,629,886,629,886,665,751,665,DISC%,other
15,936,613,1111,613,1111,644,936,644,AMOUNT,other
16,257,722,473,722,473,755,257,755,9555017370017,other
17,546,725,568,725,568,754,546,754,1,other
18,616,722,715,722,715,755,616,755,28.00,other
19,773,720,850,720,850,754,773,754,7.14,other
20,978,721,1101,721,1101,756,978,756,26.00 *,other
21,274,781,970,781,970,813,274,813,- LION FILE 220*307 LAMINATING FILM,other
22,265,898,459,898,459,942,265,942,TOTAL QTY. :,other
23,584,895,607,895,607,931,584,931,1,other
24,981,892,1080,892,1080,927,981,927,26.00,other
25,270,995,587,995,587,1031,270,1031,SUB-TOTAL (EX),other
26,742,1001,756,1001,756,1024,742,1024,:,other
27,981,989,1079,989,1079,1024,981,1024,26.00,other
28,268,1055,495,1055,495,1090,268,1090,TOTAL TAX,other
29,739,1057,757,1057,757,1086,739,1086,:,other
30,1004,1051,1081,1051,1081,1083,1004,1083,1.56,other
31,271,1114,489,1114,489,1148,271,1148,ROUNDING,other
32,742,1115,757,1115,757,1144,742,1144,:,other
33,992,1110,1078,1110,1078,1144,992,1144,-0.01,other
34,268,1173,447,1173,447,1215,268,1215,TOTAL,other
35,742,1178,757,1178,757,1211,742,1211,:,other
36,945,1171,1077,1171,1077,1214,945,1214,27.55,total
37,266,1234,410,1234,410,1275,266,1275,CASH,other
38,742,1239,755,1239,755,1267,742,1267,:,other
39,947,1229,1076,1229,1076,1274,947,1274,27.55,other
40,268,1303,492,1303,492,1343,268,1343,CHANGE,other
41,739,1311,757,1311,757,1340,739,1340,:,other
42,976,1300,1078,1300,1078,1343,976,1343,0.00,other
43,541,1514,870,1514,870,1557,541,1557,GST SUMMARY,other
44,278,1618,467,1618,467,1647,278,1647,TAX CODE,other
45,564,1618,598,1618,598,1649,564,1649,%,other
46,732,1598,900,1598,900,1634,732,1634,AMOUNT,other
47,1011,1595,1088,1595,1088,1631,1011,1631,TAX,other
48,295,1722,348,1722,348,1752,295,1752,SR,other
49,551,1721,628,1721,628,1751,551,1751,6.00,other
50,767,1720,863,1720,863,1752,767,1752,26.00,other
51,1000,1717,1078,1717,1078,1752,1000,1752,1.56,other
52,263,1825,415,1825,415,1859,263,1859,TOTAL:,other
53,767,1823,865,1823,865,1859,767,1859,26.00,other
54,1003,1821,1081,1821,1081,1856,1003,1856,1.56,other
55,267,1921,1084,1921,1084,1959,267,1959,NOTE: (*) INDICATED THE ITEM SOLD,other 
56,273,1961,787,1961,787,2000,273,2000,TO GST (GOODS & SERVICES TAX),other
57,372,2061,1009,2061,1009,2099,372,2099,GOODS SOLD ARE NOT RETURNABLE,other
58,585,2109,794,2109,794,2143,585,2143,THANK YOU.,other
59,690,213,924,213,924,237,690,237,FAX : 03-3271 9481,other
60,977,650,1066,650,1066,687,977,687,(RM),other
61,773,1634,856,1634,856,1673,773,1673,(RM),other
62,1000,1635,1084,1635,1084,1674,1000,1674,(RM),other
